source_domain,source_use_case,target_domain,target_use_case,sequence,strength,relationship_type,description,valid_from,valid_to
medical_knowledge,clinical_protocol_packaging,truemark_mint,training_delivery,10,strong,dependency,"Clinical protocol packaging relies on TrueMark training delivery patterns for controlled reuse",2025-01-01,
medical_knowledge,clinical_protocol_packaging,financial_knowledge,filing_compliance_documentation,20,medium,constraint,"Clinical packaging for regulated entities must align with reimbursement and disclosure controls",2025-01-01,
medical_knowledge,family_health_preservation,truemark_mint,family_preservation,30,strong,dependency,"Family health history maps directly onto heirloom preservation flows",2025-01-01,
medical_knowledge,hospital_system_documentation,truemark_mint,audit_record,40,strong,dependency,"Clinical system documentation requires immutable audit-ready traceability",2025-01-01,
financial_knowledge,corporate_reporting_packaging,truemark_mint,audit_record,10,strong,dependency,"Reporting playbooks rely on audit-ready record structures",2025-01-01,
financial_knowledge,risk_model_preservation,truemark_mint,ip_structuring,20,strong,dependency,"Proprietary risk logic depends on controlled IP packaging",2025-01-01,
financial_knowledge,filing_compliance_documentation,industrial_knowledge,iso_playbook_packaging,30,medium,influence,"Compliance documentation aligns with operational control standards",2025-01-01,
industrial_knowledge,iso_playbook_packaging,truemark_mint,system_documentation,10,strong,dependency,"ISO playbooks map directly onto structured operational documentation",2025-01-01,
industrial_knowledge,supply_chain_resilience_documentation,macro_economic_knowledge,trade_risk_monitoring,20,strong,dependency,"Resilience plans depend on geopolitical and trade exposure monitoring",2025-01-01,
industrial_knowledge,smart_factory_template_distribution,general_datasets,emerging_tech_guidance_library,30,strong,dependency,"Smart factory templates depend on current technology guidance",2025-01-01,
macro_economic_knowledge,policy_scenario_packaging,financial_knowledge,risk_model_preservation,10,strong,influence,"Policy scenario packaging reshapes downstream risk models",2025-01-01,
macro_economic_knowledge,trade_risk_monitoring,industrial_knowledge,supply_chain_resilience_documentation,20,strong,causal,"Trade risk monitoring drives logistics contingency documentation",2025-01-01,
macro_economic_knowledge,legacy_macro_archive,truemark_mint,expert_packaging,30,medium,dependency,"Long-horizon macro archives become licensable expert assets through packaging",2025-01-01,
micro_economic_knowledge,pricing_strategy_packaging,financial_knowledge,corporate_reporting_packaging,10,strong,influence,"Pricing logic feeds reporting assumptions and revenue narratives",2025-01-01,
micro_economic_knowledge,firm_operations_templates,industrial_knowledge,iso_playbook_packaging,20,medium,dependency,"Operational templates align with industrial quality playbooks",2025-01-01,
micro_economic_knowledge,competition_risk_analysis,truemark_mint,ip_structuring,30,strong,constraint,"Competition analysis constrains licensing posture and IP packaging",2025-01-01,
general_datasets,legal_framework_packaging,truemark_mint,ip_structuring,10,strong,constraint,"Legal frameworks constrain IP packaging and license terms",2025-01-01,
general_datasets,sustainability_reporting_assets,financial_knowledge,corporate_reporting_packaging,20,medium,dependency,"Sustainability reporting assets plug into formal reporting playbooks",2025-01-01,
general_datasets,emerging_tech_guidance_library,industrial_knowledge,smart_factory_template_distribution,30,strong,influence,"Emerging tech guidance shapes smart factory deployment patterns",2025-01-01,
