source_domain,source_id,target_domain,target_id,sequence,strength,relationship_type,description,confidence,valid_from,valid_to
medical_knowledge,hipaa_compliance,general_datasets,legal_frameworks,10,strong,constraint,"Health data handling is constrained by broader privacy, contract, and jurisdiction rules",high,2025-01-01,
medical_knowledge,clinical_guidelines,general_datasets,emerging_tech,20,medium,influence,"Digital and AI delivery of guidelines depends on current technology governance",medium,2025-01-01,
medical_knowledge,diagnostic_codes,financial_knowledge,regulatory_filings,30,strong,dependency,"Clinical coding precision affects billing, reporting, and disclosure workflows",high,2025-01-01,
medical_knowledge,pharmacology_basics,financial_knowledge,risk_metrics,40,medium,influence,"Drug interaction and safety exposure feed downstream liability and risk models",medium,2025-01-01,
medical_knowledge,telemedicine_standards,industrial_knowledge,industry_4.0_technologies,50,strong,dependency,"Remote care standards depend on secure connected-device and platform infrastructure",high,2025-01-01,
financial_knowledge,gaap_standards,macro_economic_knowledge,gdp_indicators,10,medium,correlated,"Firm-level reporting standards affect how output is aggregated and interpreted",medium,2025-01-01,
financial_knowledge,risk_metrics,macro_economic_knowledge,monetary_policy,20,strong,influence,"Risk pricing shifts with rate, liquidity, and policy regime changes",high,2025-01-01,
financial_knowledge,valuation_models,micro_economic_knowledge,firm_theory,30,strong,dependency,"Valuation assumptions rely on cost structure and scale economics",high,2025-01-01,
financial_knowledge,regulatory_filings,general_datasets,legal_frameworks,40,strong,constraint,"Disclosure obligations are bounded by broader legal and jurisdictional rules",high,2025-01-01,
industrial_knowledge,iso_standards,general_datasets,legal_frameworks,10,medium,constraint,"Operational standards must fit contractual, liability, and data-governance obligations",medium,2025-01-01,
industrial_knowledge,supply_chain_models,macro_economic_knowledge,global_trade_dynamics,20,strong,dependency,"Logistics models depend on tariff, trade, and geopolitical conditions",high,2025-01-01,
industrial_knowledge,industry_4.0_technologies,general_datasets,emerging_tech,30,strong,dependency,"Smart manufacturing depends on current AI, automation, and digital governance",high,2025-01-01,
macro_economic_knowledge,gdp_indicators,micro_economic_knowledge,consumer_behavior,10,medium,correlated,"Aggregate output reflects household demand and spending behavior",medium,2025-01-01,
macro_economic_knowledge,monetary_policy,financial_knowledge,risk_metrics,20,strong,causal,"Policy rate and liquidity changes directly alter financial risk conditions",high,2025-01-01,
macro_economic_knowledge,global_trade_dynamics,industrial_knowledge,supply_chain_models,30,strong,causal,"Trade shocks and sanctions directly alter sourcing and logistics design",high,2025-01-01,
micro_economic_knowledge,consumer_behavior,financial_knowledge,valuation_models,10,medium,influence,"Demand elasticity and utility shifts change revenue forecasts and valuation ranges",medium,2025-01-01,
micro_economic_knowledge,firm_theory,industrial_knowledge,iso_standards,20,weak,constraint,"Cost structure realities constrain how aggressively process controls can expand",medium,2025-01-01,
micro_economic_knowledge,market_structures,financial_knowledge,valuation_models,30,strong,influence,"Competition regime shapes margins, comparables, and terminal value assumptions",high,2025-01-01,
general_datasets,legal_frameworks,medical_knowledge,hipaa_compliance,10,strong,constraint,"General legal obligations frame how health-data rules are interpreted and enforced",high,2025-01-01,
general_datasets,environmental_standards,industrial_knowledge,iso_standards,20,strong,correlated,"Sustainability programs commonly align with formal industrial management standards",high,2025-01-01,
general_datasets,emerging_tech,micro_economic_knowledge,consumer_behavior,30,medium,influence,"Technology adoption reshapes consumer decision-making and elasticity",medium,2025-01-01,
