ontology_category,research_manifest_id,local_mirror_path,priority,core_apis,update_frequency,implications_for_goat_truemark,spruked_com_integration,edge_case_handling
earth_systems_and_climate,earth_systems_and_climate,R:\datasets\bulk_mirrors\earth_systems_and_climate,high,"NASA EONET, NASA FIRMS, NOAA Climate Data Online, AirNow AQI",hourly to daily,"GOAT structures wildfire, smoke, drought, and air-quality time series into preservable L-NFT/E-NFT assets; TrueMark can mint derived climate briefs and risk packages","spruked.com hosts climate anomaly dashboards, alert views, and QR-linked snapshots","Provider outage or API key failure falls back to local mirror or cached snapshot; low-latency alerts carry timestamped confidence warning"
agriculture_food_and_water,agriculture_food_and_water,R:\datasets\bulk_mirrors\agriculture_food_and_water,high,"USDA NASS Quick Stats, USGS Water Services, NASA-USDA soil moisture references",daily to weekly,"GOAT normalizes crop, water, and soil indicators into reusable M-NFT/L-NFT templates; TrueMark can mint farm, yield, and resilience assets","spruked.com hosts yield, moisture, and water-condition dashboards tied to regional views","Seasonal data gaps use prior-season or multi-year baselines with confidence reduction; key-gated USDA endpoints fall back to mirror"
biomedical_and_public_health,biomedical_and_public_health,R:\datasets\bulk_mirrors\biomedical_and_public_health,high,"CDC RESP-LENS, CDC PLACES, public health open datasets",daily to weekly,"GOAT de-identifies and structures public health aggregates into preservable research assets; TrueMark mints only non-PHI derivatives with audit and license layers","spruked.com hosts public-health dashboards and region-filtered trend summaries","Privacy-sensitive or suppressed fields remain excluded; unavailable public-health feeds fall back to local mirror with audit note"
financial_economic,financial_economic,R:\datasets\bulk_mirrors\financial_economic,high,"FRED API, SEC EDGAR APIs, BEA API",real-time to quarterly,"GOAT structures macro-financial series, filings, and valuation context into licensable K-NFT/E-NFT packages; TrueMark supports audit-ready distribution","spruked.com hosts reporting, valuation, and filing dashboards with source traceability","Key-gated feeds use cached mirror when credentials are absent; volatile periods trigger temporal reasoning and confidence adjustment"
industrial_manufacturing,industrial_manufacturing,R:\datasets\bulk_mirrors\industrial_manufacturing,medium,"BLS Public Data API, Census economic indicators, EIA open data references",weekly to monthly,"GOAT structures production, pricing, and operations references into deployable enterprise templates; TrueMark mints operational E-NFT/M-NFT assets","spruked.com hosts operations and manufacturing intelligence dashboards","Geopolitical or facility disruption causes regional fallback and explicit uncertainty tagging"
macro_economic_indicators,macro_economic_indicators,R:\datasets\bulk_mirrors\macro_economic_indicators,high,"FRED API, BEA API, World Bank Indicators API",daily to quarterly,"GOAT preserves macro trend packages and scenario archives; TrueMark enables long-horizon legacy and enterprise licensing of macro analysis","spruked.com hosts policy, rates, GDP, and inflation dashboards","Series revisions or methodological changes create versioned snapshots and require delta notes in synthesis"
micro_economic_markets,micro_economic_markets,R:\datasets\bulk_mirrors\micro_economic_markets,medium,"Census API, BLS Public Data API, FRED API",weekly to monthly,"GOAT structures demand, pricing, labor, and competition context into reusable strategy templates; TrueMark mints expert packaging and IP-structuring assets","spruked.com hosts pricing, competition, and labor-signal dashboards","Sampling bias, missing regional slices, or lagging market series lower confidence and trigger explicit disclosure"
legal_and_regulatory,legal_and_regulatory,R:\datasets\bulk_mirrors\legal_and_regulatory,medium,"SEC EDGAR APIs, Regulations.gov API, Congress.gov API",daily,"GOAT preserves regulatory text, disclosure obligations, and policy context into auditable knowledge assets; TrueMark uses these constraints to govern downstream issuance","spruked.com hosts compliance dashboards and rule-change timelines","Key-gated or unavailable legal feeds fall back to mirrored notices; conflicting jurisdiction updates route to constraint-first synthesis"
geospatial_and_regional_analysis,geospatial_and_regional_analysis,R:\datasets\bulk_mirrors\geospatial_and_regional_analysis,high,"USGS Earthquake Feeds, Census Geocoder, Census TIGER/ACS regional data",real-time to monthly,"GOAT structures boundary, hazard, and regional context into reusable geospatial assets; TrueMark can mint map-linked enterprise and research packages","spruked.com hosts map views, region filters, and QR-linked geospatial reports","Boundary mismatches or geocoder failures trigger regional fallback logic and explicit area-of-interest warning"
space_exploration_and_mars,space_exploration_and_mars,R:\datasets\bulk_mirrors\space_exploration_and_mars,high,"SpaceX API v5, NASA Mars Rover Photos API, Launch Library 2, Celestrak GP/TLE, Open Notify ISS",real-time (launches) / daily (Mars imagery) / as-available (TLEs),"GOAT structures telemetry, rover imagery, orbital data, and mission timelines into preservable assets; TrueMark enables license-first distribution of derived space insights","spruked.com dashboard for live launch tracking, Mars imagery views, and orbital monitoring with QR verification","Provisional Starship or Mars data is flagged as test/unconfirmed; unofficial or archived APIs carry explicit reliability note; rate limits trigger swarm throttling and mirror fallback"
scientific_literature_and_evidence,scientific_literature_and_evidence,R:\datasets\bulk_mirrors\scientific_literature_and_evidence,medium,"PubMed E-utilities, Crossref REST API",daily to weekly,"GOAT structures abstracts, evidence trails, and citation graphs into preservable reference assets; TrueMark can mint evidence packs and research digests","spruked.com hosts literature dashboards, citation trails, and evidence summaries","Retractions, duplicate records, or incomplete metadata trigger evidence-quality downgrade and de-duplication workflow"
